group,n_agents,group_mean_eps_soc,solo_mean_eps_soc,group_std_eps_soc,solo_std_eps_soc,mean_difference,higher_trust_condition
0,4,12.960294676889234,18.923045469711134,0.08001360175896473,0.054786547883087636,5.9627507928219,Group
1,4,14.140418842661738,18.96087381225837,0.02609629119091191,0.042216003580735025,4.820454969596632,Group
2,4,7.684347966318834,18.1637182728455,0.008375500551545761,0.01397261866067229,10.479370306526667,Group
4,4,10.864670308770185,18.96205472353566,0.03828553859902616,0.04052896709736487,8.097384414765473,Group
6,4,10.986214041571184,18.99128284682746,0.03489694074564347,0.009337165077210434,8.005068805256276,Group
8,4,13.476659008927317,18.69330935496354,0.038316974761384515,0.03533713876523498,5.2166503460362215,Group
16,4,14.8075814025202,14.599168959308642,0.041904729081281726,0.03298631365101693,0.20841244321155727,Solo
19,4,12.045735616454374,15.830214267628229,0.04587874504028105,0.04302357987987642,3.7844786511738544,Group
23,4,9.330856407733368,15.997623895831616,0.05864375336690328,0.06515999459504314,6.666767488098248,Group
25,4,8.752832326401087,18.974602234899717,0.06326107237813147,0.026167842668828413,10.22176990849863,Group
26,4,7.3005939879450965,16.943366859675965,0.02283697729198596,0.0589706647913924,9.64277287173087,Group
28,4,11.886954864446999,12.305383149215896,0.05829699856503679,0.031329601388656876,0.41842828476889693,Group
29,4,13.15708170097563,15.115525963351594,0.03390336281352599,0.035196028013406926,1.9584442623759646,Group
30,4,11.08328943150096,18.6160922984052,0.03249845144436998,0.03630418957731678,7.532802866904239,Group
32,4,16.157829728739777,18.547677001657654,0.025307016763944524,0.0519499898660466,2.3898472729178764,Group
34,4,12.898703205944686,18.97755005000312,0.024960158003096332,0.025004627552780982,6.078846844058434,Group
35,4,16.12401840176407,18.979984433711653,0.040339731064639194,0.020610213191531217,2.8559660319475846,Group
36,4,13.315778458712668,18.099631551804926,0.026625284078956153,0.02579739926668377,4.783853093092258,Group
37,4,11.754214474080335,18.71834854718054,0.03372461799381023,0.034897734078438214,6.964134073100205,Group
38,4,14.189575198116414,18.9774119403653,0.045653367109195014,0.022370491204236637,4.787836742248887,Group
39,4,14.466148811426748,18.661566219480164,0.06345469858624726,0.05710299574152257,4.195417408053416,Group
41,4,16.187149795802593,18.722229426866555,0.08949061428657645,0.048797895620202064,2.5350796310639616,Group
42,4,14.688557952491742,18.91746282611867,0.09125776233839308,0.04103852098119369,4.228904873626927,Group
43,4,13.02859586141859,18.967373884466465,0.04864615393058151,0.03920905414735087,5.938778023047874,Group
45,4,14.16196006830561,18.968130366450637,0.0317078912903393,0.03443369957326908,4.806170298145027,Group
48,4,9.879159071049965,18.14827429415734,0.041480322074137585,0.060934197527757236,8.269115223107374,Group
50,4,13.615641182130464,18.032619997246936,0.01457204858197346,0.04101715721231498,4.416978815116472,Group
51,4,11.147337437071371,18.87995571194976,0.16424133415359743,0.04580627508883175,7.732618274878387,Group
52,4,13.31874333215357,18.70508664380054,0.06208151003263506,0.09574558122538676,5.386343311646971,Group
54,4,13.560445705059195,18.97486443082623,0.03949503588479217,0.023509623083257818,5.414418725767035,Group
55,4,5.942502814306506,18.755981386913227,0.08632843321057482,0.056663391467517164,12.813478572606721,Group
58,4,11.957489748297927,18.976348457392994,0.07435540675014714,0.024592528071122628,7.018858709095067,Group
61,4,8.588722673305101,18.80080619694231,0.0522672250839264,0.01951324259979534,10.21208352363721,Group
---,---,---,---,---,---,---,---
OVERALL_SUMMARY,132,12.226063772827075,18.087501984114954,0.04967265299413806,0.03922155373118431,5.8740692684522156,"32 Group, 1 Solo"
