agent,group,model,AS_fit,DB_fit,SG_fit,Unnamed: 0,VS_fit,fit_AS,fit_ASG,fit_DB,fit_SG,fit_VS,id,r2,lambda,beta,tau,par,initial_eps_soc,eta_eps_soc
1,0,AS,367.942915741851,368.47102308103007,361.5401777311723,240,393.5566647869498,367.942915741851,356.33216408565374,368.4710230810301,361.5401777311723,393.5566647869498,0,0.31498163366324067,0.8893497425432617,0.16973931664353098,0.060673545410039297,,,
1,0,DB,367.942915741851,368.47102308103007,361.5401777311723,240,393.5566647869498,367.942915741851,356.33216408565374,368.4710230810301,361.5401777311723,393.5566647869498,0,0.3139984289016935,0.8814277769480603,0.17411378730167298,0.06057703047776194,0.21428570000000002,,
1,0,VS,367.942915741851,368.47102308103007,361.5401777311723,240,393.5566647869498,367.942915741851,356.33216408565374,368.4710230810301,361.5401777311723,393.5566647869498,0,0.2672951916203029,0.7972145570843328,0.006737946999085468,0.11342552921074751,0.116,,
1,0,SG,367.942915741851,368.47102308103007,361.5401777311723,240,393.5566647869498,367.942915741851,356.33216408565374,368.4710230810301,361.5401777311723,393.5566647869498,0,0.3269019423429561,0.9198221232244083,0.13161801001538953,0.0670874943709274,15.132895670004348,,
1,0,ASG,367.942915741851,368.47102308103007,361.5401777311723,240,393.5566647869498,367.942915741851,356.33216408565374,368.4710230810301,361.5401777311723,393.5566647869498,0,0.33659797084813775,0.8218861171588188,0.15343912468411974,0.06374574075488637,,14.883714104760005,0.06967248240255264
4,0,AS,319.9088885407179,316.9454452082656,298.632073223507,6960,353.5020756928368,310.7018983431277,296.21443397697664,296.13872995994996,295.9536491801186,357.4798551302872,1,0.42155019782996594,0.6811658336629438,0.2528878897679921,0.03792194047490435,,,
4,0,DB,319.9088885407179,316.9454452082656,298.632073223507,6960,353.5020756928368,310.7018983431277,296.21443397697664,296.13872995994996,295.9536491801186,357.4798551302872,1,0.4486632020154596,0.5919402920218688,0.28705252210300586,0.03250738196446477,0.21428570000000002,,
4,0,VS,319.9088885407179,316.9454452082656,298.632073223507,6960,353.5020756928368,310.7018983431277,296.21443397697664,296.13872995994996,295.9536491801186,357.4798551302872,1,0.3344612550402821,0.9863226134061525,0.006862834910527118,0.11018933295603767,0.11601188794336076,,
4,0,SG,319.9088885407179,316.9454452082656,298.632073223507,6960,353.5020756928368,310.7018983431277,296.21443397697664,296.13872995994996,295.9536491801186,357.4798551302872,1,0.4490077764807263,0.6139611590559073,0.2650047129087475,0.035726240957157346,17.286421080944606,,
4,0,ASG,319.9088885407179,316.9454452082656,298.632073223507,6960,353.5020756928368,310.7018983431277,296.21443397697664,296.13872995994996,295.9536491801186,357.4798551302872,1,0.4485222599294728,0.6906880062351648,0.23268477194907694,0.03986875353682599,,17.835700774610626,0.02275157634630368
2,0,AS,310.7018983431277,296.13872995995,295.9536491801186,20400,357.4798551302872,277.6747829631547,276.7055490498422,279.78270971833115,276.77451496749666,339.76096385945016,2,0.483038487601192,1.0516108530148627,0.006737946999085468,0.07824373817741735,,,
2,0,DB,310.7018983431277,296.13872995995,295.9536491801186,20400,357.4798551302872,277.6747829631547,276.7055490498422,279.78270971833115,276.77451496749666,339.76096385945016,2,0.4791140512812885,1.0551452095957163,0.006737946999085468,0.07317856342294099,0.21576118852733034,,
2,0,VS,310.7018983431277,296.13872995995,295.9536491801186,20400,357.4798551302872,277.6747829631547,276.7055490498422,279.78270971833115,276.77451496749666,339.76096385945016,2,0.3674494318262793,0.9077623064264274,0.006998708793016173,0.10539242335699625,0.11606187876050006,,
2,0,SG,310.7018983431277,296.13872995995,295.9536491801186,20400,357.4798551302872,277.6747829631547,276.7055490498422,279.78270971833115,276.77451496749666,339.76096385945016,2,0.4847145631152634,0.8690544025250277,0.010514502436092803,0.07477140942956245,3.936324380621181,,
2,0,ASG,310.7018983431277,296.13872995995,295.9536491801186,20400,357.4798551302872,277.6747829631547,276.7055490498422,279.78270971833115,276.77451496749666,339.76096385945016,2,0.4848429605329697,0.8679335549869934,0.01161596790276058,0.07464160963160175,,4.059349493435963,0.008349702572125419
3,0,AS,277.6747829631547,279.7827097183312,276.77451496749666,21360,339.7609638594501,319.90888854071795,293.01979840906426,316.9454452082656,298.63207322350695,353.50207569283685,3,0.4044090677410344,1.136181283940233,0.0436253956584956,0.06676303044221216,,,
3,0,DB,277.6747829631547,279.7827097183312,276.77451496749666,21360,339.7609638594501,319.90888854071795,293.01979840906426,316.9454452082656,298.63207322350695,353.50207569283685,3,0.4099262635436365,1.1406282758898958,0.043944768685236446,0.06742709885620218,0.21428570000000002,,
3,0,VS,277.6747829631547,279.7827097183312,276.77451496749666,21360,339.7609638594501,319.90888854071795,293.01979840906426,316.9454452082656,298.63207322350695,353.50207569283685,3,0.3418668928588451,1.054004842759696,0.006737946999085468,0.10827408008390604,0.116,,
3,0,SG,277.6747829631547,279.7827097183312,276.77451496749666,21360,339.7609638594501,319.90888854071795,293.01979840906426,316.9454452082656,298.63207322350695,353.50207569283685,3,0.44402121583759036,1.117320909623079,0.03733758699739059,0.06642841506086294,14.994586441718122,,
3,0,ASG,277.6747829631547,279.7827097183312,276.77451496749666,21360,339.7609638594501,319.90888854071795,293.01979840906426,316.9454452082656,298.63207322350695,353.50207569283685,3,0.4544698782804345,1.1232143543359268,0.03461621138043989,0.06678570163243769,,15.360448740952327,0.08151027780906196
3,1,AS,402.467535465686,403.60980861342927,402.1372143339784,6000,404.2606091290875,377.8238838417968,374.12680278867305,379.70904199735816,374.1261810148367,382.0623990438443,4,0.2965857240368696,1.0073935313489053,0.36004833036392436,0.0539811612899776,,,
3,1,DB,402.467535465686,403.60980861342927,402.1372143339784,6000,404.2606091290875,377.8238838417968,374.12680278867305,379.70904199735816,374.1261810148367,382.0623990438443,4,0.293076027546572,1.030199605067573,0.35879043741660277,0.05329589481536322,0.21428570000000002,,
3,1,VS,402.467535465686,403.60980861342927,402.1372143339784,6000,404.2606091290875,377.8238838417968,374.12680278867305,379.70904199735816,374.1261810148367,382.0623990438443,4,0.2886946609529505,1.0156065870584499,0.350852293630564,0.056240249390236474,0.116,,
3,1,SG,402.467535465686,403.60980861342927,402.1372143339784,6000,404.2606091290875,377.8238838417968,374.12680278867305,379.70904199735816,374.1261810148367,382.0623990438443,4,0.3034699287364383,0.9996093384518736,0.35571014223836334,0.05361942067691659,16.003427709506326,,
3,1,ASG,402.467535465686,403.60980861342927,402.1372143339784,6000,404.2606091290875,377.8238838417968,374.12680278867305,379.70904199735816,374.1261810148367,382.0623990438443,4,0.30346877114791193,0.9996671281297447,0.35569753232833584,0.0536200007787728,,16.12758594189822,0.0439995682099831
4,1,AS,378.04338065836936,378.514256385994,378.336031688348,24480,378.2847968502921,391.29483677867034,388.9455132200287,393.97072523956496,388.94519122178554,400.58990989275276,5,0.27150615386710253,0.9488144732875872,0.3784065312915426,0.05400962000668097,,,
4,1,DB,378.04338065836936,378.514256385994,378.336031688348,24480,378.2847968502921,391.29483677867034,388.9455132200287,393.97072523956496,388.94519122178554,400.58990989275276,5,0.266524313849105,0.9173816854329115,0.38289387481463183,0.05423934790092893,0.21501803399196553,,
4,1,VS,378.04338065836936,378.514256385994,378.336031688348,24480,378.2847968502921,391.29483677867034,388.9455132200287,393.97072523956496,388.94519122178554,400.58990989275276,5,0.254201035254473,1.0169674469736458,0.3459603780444418,0.055926411804672366,0.116,,
4,1,SG,378.04338065836936,378.514256385994,378.336031688348,24480,378.2847968502921,391.29483677867034,388.9455132200287,393.97072523956496,388.94519122178554,400.58990989275276,5,0.27588061058847313,0.9144237709535388,0.3808896584579697,0.05332212156043595,18.46701826802404,,
4,1,ASG,378.04338065836936,378.514256385994,378.336031688348,24480,378.2847968502921,391.29483677867034,388.9455132200287,393.97072523956496,388.94519122178554,400.58990989275276,5,0.2758800111076813,0.9143051708853379,0.3809320547206855,0.05331863646901942,,18.468470554233285,0.021784638000729314
2,1,AS,391.29483677867034,393.9707252395649,388.94519122178554,25680,400.5899098927528,402.46753546568607,402.15020857285424,403.6098086134292,402.13721433397836,404.2606091290876,6,0.2507053625630459,0.940932463717709,0.3725066199239358,0.054126873235866575,,,
2,1,DB,391.29483677867034,393.9707252395649,388.94519122178554,25680,400.5899098927528,402.46753546568607,402.15020857285424,403.6098086134292,402.13721433397836,404.2606091290876,6,0.24857873353419302,0.9718950736289454,0.3607800760778929,0.05499416962750477,0.21428570000000002,,
2,1,VS,391.29483677867034,393.9707252395649,388.94519122178554,25680,400.5899098927528,402.46753546568607,402.15020857285424,403.6098086134292,402.13721433397836,404.2606091290876,6,0.247367104536938,1.0515311682749355,0.3167658726638899,0.05846616775089211,0.116,,
2,1,SG,391.29483677867034,393.9707252395649,388.94519122178554,25680,400.5899098927528,402.46753546568607,402.15020857285424,403.6098086134292,402.13721433397836,404.2606091290876,6,0.2513203385072156,0.8783702956257193,0.37743306305115903,0.05275882449565132,11.284836943024185,,
2,1,ASG,391.29483677867034,393.9707252395649,388.94519122178554,25680,400.5899098927528,402.46753546568607,402.15020857285424,403.6098086134292,402.13721433397836,404.2606091290876,6,0.251296146460282,0.8784467510944012,0.3774335232032596,0.052762534612140824,,11.316533690755644,0.006369270334855537
1,1,AS,377.8238838417968,379.70904199735816,374.1261810148367,27120,382.0623990438443,378.0433806583694,378.3461336714187,378.51425638599403,378.33603168834804,378.2847968502921,7,0.2961770754550604,0.7166913768449109,0.4869785223476153,0.039947164960063106,,,
1,1,DB,377.8238838417968,379.70904199735816,374.1261810148367,27120,382.0623990438443,378.0433806583694,378.3461336714187,378.51425638599403,378.33603168834804,378.2847968502921,7,0.2953004217463331,0.7417278446159357,0.47330045223929684,0.04168088179075445,0.21428570000000002,,
1,1,VS,377.8238838417968,379.70904199735816,374.1261810148367,27120,382.0623990438443,378.0433806583694,378.3461336714187,378.51425638599403,378.33603168834804,378.2847968502921,7,0.2957276184378905,0.7456402282793647,0.4417396765055071,0.04392689435240816,0.116,,
1,1,SG,377.8238838417968,379.70904199735816,374.1261810148367,27120,382.0623990438443,378.0433806583694,378.3461336714187,378.51425638599403,378.33603168834804,378.2847968502921,7,0.2956322318886105,0.6784794272897084,0.47272259098743696,0.03745247998463305,10.752924430561183,,
1,1,ASG,377.8238838417968,379.70904199735816,374.1261810148367,27120,382.0623990438443,378.0433806583694,378.3461336714187,378.51425638599403,378.33603168834804,378.2847968502921,7,0.2956134245039762,0.6784854192307173,0.4727256955746233,0.037452861027313294,,10.762771334112816,0.0025654805827406975
4,2,AS,406.1457826439096,409.31133034411096,412.979543061241,4320,429.13698556124353,383.40865988874947,377.2639592556716,379.42106316250226,373.8529140007464,381.1190759591423,8,0.271902912275097,1.1070645201437412,0.31001824517286425,0.07427157662410795,,,
4,2,DB,406.1457826439096,409.31133034411096,412.979543061241,4320,429.13698556124353,383.40865988874947,377.2639592556716,379.42106316250226,373.8529140007464,381.1190759591423,8,0.2794545657422234,0.8116148166347142,0.4166190038970718,0.05491804814936424,0.21428570000000002,,
4,2,VS,406.1457826439096,409.31133034411096,412.979543061241,4320,429.13698556124353,383.40865988874947,377.2639592556716,379.42106316250226,373.8529140007464,381.1190759591423,8,0.27656675062597835,1.7024882058629158,0.10912808417415336,0.10729684121778907,0.160532419397992,,
4,2,SG,406.1457826439096,409.31133034411096,412.979543061241,4320,429.13698556124353,383.40865988874947,377.2639592556716,379.42106316250226,373.8529140007464,381.1190759591423,8,0.2905607476430393,1.2239490847917898,0.2527661114374438,0.07638601900849612,3.7689708622454794,,
4,2,ASG,406.1457826439096,409.31133034411096,412.979543061241,4320,429.13698556124353,383.40865988874947,377.2639592556716,379.42106316250226,373.8529140007464,381.1190759591423,8,0.28423489698611537,1.5359053686628426,0.1524431390913059,0.09483029894138253,,2.755070000636952,0.004541298331520188
1,2,AS,383.4086598887494,379.42106316250226,373.8529140007464,20160,381.1190759591424,362.75288617984467,360.6212194822616,366.3167800320348,360.6174180056463,364.0193584516811,9,0.3246441802695176,0.8573182032108587,0.3661930393877277,0.053875128547661424,,,
1,2,DB,383.4086598887494,379.42106316250226,373.8529140007464,20160,381.1190759591424,362.75288617984467,360.6212194822616,366.3167800320348,360.6174180056463,364.0193584516811,9,0.31800909466254873,0.7401693893952019,0.4074755700514098,0.04518111350830485,0.21428570000000002,,
1,2,VS,383.4086598887494,379.42106316250226,373.8529140007464,20160,381.1190759591424,362.75288617984467,360.6212194822616,366.3167800320348,360.6174180056463,364.0193584516811,9,0.3222863233043548,0.9264654930354621,0.31705562894845796,0.059242981474636136,0.12761969793048528,,
1,2,SG,383.4086598887494,379.42106316250226,373.8529140007464,20160,381.1190759591424,362.75288617984467,360.6212194822616,366.3167800320348,360.6174180056463,364.0193584516811,9,0.3286198918744119,0.8313298958046276,0.34635508571604334,0.05094448856833744,5.590885080403065,,
1,2,ASG,383.4086598887494,379.42106316250226,373.8529140007464,20160,381.1190759591424,362.75288617984467,360.6212194822616,366.3167800320348,360.6174180056463,364.0193584516811,9,0.32861281446868046,0.842923013093501,0.34504889262135635,0.0507453260889562,,5.584319512143468,0.0028201643669656692
2,2,AS,362.75288617984467,366.3167800320349,360.61741800564624,23040,364.0193584516811,383.19794446190906,377.45515502919596,386.59044382363095,377.4527393707146,391.7955061103346,10,0.28658055728658277,0.943612886948684,0.4267018168547192,0.04321679226123734,,,
2,2,DB,362.75288617984467,366.3167800320349,360.61741800564624,23040,364.0193584516811,383.19794446190906,377.45515502919596,386.59044382363095,377.4527393707146,391.7955061103346,10,0.28026456567174296,0.951103361453438,0.4237897905603791,0.04429842168358204,0.21428570000000002,,
2,2,VS,362.75288617984467,366.3167800320349,360.61741800564624,23040,364.0193584516811,383.19794446190906,377.45515502919596,386.59044382363095,377.4527393707146,391.7955061103346,10,0.2705740318639922,0.9622260605900499,0.4185275862075514,0.044629936104790525,0.116,,
2,2,SG,362.75288617984467,366.3167800320349,360.61741800564624,23040,364.0193584516811,383.19794446190906,377.45515502919596,386.59044382363095,377.4527393707146,391.7955061103346,10,0.29727670290445585,0.9312621869470895,0.43046766042848716,0.041942022113410846,15.005830139924992,,
2,2,ASG,362.75288617984467,366.3167800320349,360.61741800564624,23040,364.0193584516811,383.19794446190906,377.45515502919596,386.59044382363095,377.4527393707146,391.7955061103346,10,0.29727220554805694,0.9312835776556577,0.4304691999189884,0.04194247809698238,,15.052730875098183,0.01045838265392983
3,2,AS,383.197944461909,386.59044382363095,377.45273937071465,29280,391.7955061103345,406.14578264390957,409.51047067723005,409.311330344111,412.979543061241,429.13698556124353,11,0.24385737945150998,0.8633621340043384,0.4072525988279327,0.04706975279875308,,,
3,2,DB,383.197944461909,386.59044382363095,377.45273937071465,29280,391.7955061103345,406.14578264390957,409.51047067723005,409.311330344111,412.979543061241,429.13698556124353,11,0.2379639154890879,0.877778737749041,0.4006755008585249,0.048898978054802894,0.21428570000000002,,
3,2,VS,383.197944461909,386.59044382363095,377.45273937071465,29280,391.7955061103345,406.14578264390957,409.51047067723005,409.311330344111,412.979543061241,429.13698556124353,11,0.20105346724465328,0.8624603012779365,0.4054647394249651,0.050500821371060496,0.116,,
3,2,SG,383.197944461909,386.59044382363095,377.45273937071465,29280,391.7955061103345,406.14578264390957,409.51047067723005,409.311330344111,412.979543061241,429.13698556124353,11,0.2311346140530275,0.8471806401369187,0.4011106308428803,0.045045891326175945,7.367973403782262,,
3,2,ASG,383.197944461909,386.59044382363095,377.45273937071465,29280,391.7955061103345,406.14578264390957,409.51047067723005,409.311330344111,412.979543061241,429.13698556124353,11,0.2375931656259199,0.8471948060724385,0.4011187422921802,0.045046106864435054,,7.380603959911736,0.004164543230038141
2,4,AS,449.2061868174588,446.3495175428797,431.687410496337,10560,407.2350533946534,381.3822671957839,385.14865429850954,382.9439359346737,385.15114123508755,387.1495533698653,12,0.28996089760955945,1.4241184716169175,0.19790726383064072,0.08509818573482382,,,
2,4,DB,449.2061868174588,446.3495175428797,431.687410496337,10560,407.2350533946534,381.3822671957839,385.14865429850954,382.9439359346737,385.15114123508755,387.1495533698653,12,0.2870534581060252,1.5862527165242384,0.1543953164784384,0.09517297622425411,0.21428570000000002,,
2,4,VS,449.2061868174588,446.3495175428797,431.687410496337,10560,407.2350533946534,381.3822671957839,385.14865429850954,382.9439359346737,385.15114123508755,387.1495533698653,12,0.27922364249703646,2.047777133163911,0.006737946999085468,0.12517538209465895,0.116,,
2,4,SG,449.2061868174588,446.3495175428797,431.687410496337,10560,407.2350533946534,381.3822671957839,385.14865429850954,382.9439359346737,385.15114123508755,387.1495533698653,12,0.28294418978104363,1.4031067428836443,0.1912562466051699,0.08643829212990707,18.999999999999996,,
2,4,ASG,449.2061868174588,446.3495175428797,431.687410496337,10560,407.2350533946534,381.3822671957839,385.14865429850954,382.9439359346737,385.15114123508755,387.1495533698653,12,0.28294881983956344,1.6969666655652154,0.10813953153533785,0.10162407493561142,,18.999999999999996,0.014314852877841528
1,4,AS,381.382267195784,382.9439359346736,385.1511412350875,12960,387.1495533698653,449.20618681745873,434.9605809750968,446.3495175428797,431.68741049633707,407.2350533946534,13,0.1636895967363769,0.8595967272649689,0.4325223094486757,0.045447049585390135,,,
1,4,DB,381.382267195784,382.9439359346736,385.1511412350875,12960,387.1495533698653,449.20618681745873,434.9605809750968,446.3495175428797,431.68741049633707,407.2350533946534,13,0.16900800575015307,0.8592563979656207,0.42766277197274094,0.046373074760372474,0.21428570000000002,,
