Unnamed: 0,agent,group,AS_fit,DB_fit,VS_fit,SG_fit,r2_AS,r2_DB,r2_VS,r2_SG,r2_ASG,fit_AS,fit_DB,fit_VS,fit_SG,fit_ASG,id,model,lambda,beta,tau,par,initial_eps_soc,eta_eps_soc
240,1,0,367.942915741851,368.47102308103007,393.5566647869498,361.5401777311723,0.31498163366324067,0.3139984289016935,0.2672951916203029,0.3269019423429561,0.33659797084813775,367.942915741851,368.4710230810301,393.5566647869498,361.5401777311723,356.33216408565374,0,ASG,0.8218861171588188,0.15343912468411974,0.06374574075488637,,14.883714104760005,0.06967248240255264
6960,4,0,319.9088885407179,316.9454452082656,353.5020756928368,298.632073223507,0.42155019782996594,0.4486632020154596,0.3344612550402821,0.4490077764807263,0.4485222599294728,310.7018983431277,296.13872995994996,357.4798551302872,295.9536491801186,296.21443397697664,1,SG,0.6139611590559073,0.2650047129087475,0.035726240957157346,17.286421080944606,,
20400,2,0,310.7018983431277,296.13872995995,357.4798551302872,295.9536491801186,0.483038487601192,0.4791140512812885,0.3674494318262793,0.4847145631152634,0.4848429605329697,277.6747829631547,279.78270971833115,339.76096385945016,276.77451496749666,276.7055490498422,2,ASG,0.8679335549869934,0.01161596790276058,0.07464160963160175,,4.059349493435963,0.008349702572125419
21360,3,0,277.6747829631547,279.7827097183312,339.7609638594501,276.77451496749666,0.4044090677410344,0.4099262635436365,0.3418668928588451,0.44402121583759036,0.4544698782804345,319.90888854071795,316.9454452082656,353.50207569283685,298.63207322350695,293.01979840906426,3,ASG,1.1232143543359268,0.03461621138043989,0.06678570163243769,,15.360448740952327,0.08151027780906196
6000,3,1,402.467535465686,403.60980861342927,404.2606091290875,402.1372143339784,0.2965857240368696,0.293076027546572,0.2886946609529505,0.3034699287364383,0.30346877114791193,377.8238838417968,379.70904199735816,382.0623990438443,374.1261810148367,374.12680278867305,4,SG,0.9996093384518736,0.35571014223836334,0.05361942067691659,16.003427709506326,,
24480,4,1,378.04338065836936,378.514256385994,378.2847968502921,378.336031688348,0.27150615386710253,0.266524313849105,0.254201035254473,0.27588061058847313,0.2758800111076813,391.29483677867034,393.97072523956496,400.58990989275276,388.94519122178554,388.9455132200287,5,SG,0.9144237709535388,0.3808896584579697,0.05332212156043595,18.46701826802404,,
25680,2,1,391.29483677867034,393.9707252395649,400.5899098927528,388.94519122178554,0.2507053625630459,0.24857873353419302,0.247367104536938,0.2513203385072156,0.251296146460282,402.46753546568607,403.6098086134292,404.2606091290876,402.13721433397836,402.15020857285424,6,SG,0.8783702956257193,0.37743306305115903,0.05275882449565132,11.284836943024185,,
27120,1,1,377.8238838417968,379.70904199735816,382.0623990438443,374.1261810148367,0.2961770754550604,0.2953004217463331,0.2957276184378905,0.2956322318886105,0.2956134245039762,378.0433806583694,378.51425638599403,378.2847968502921,378.33603168834804,378.3461336714187,7,AS,0.7166913768449109,0.4869785223476153,0.039947164960063106,,,
4320,4,2,406.1457826439096,409.31133034411096,429.13698556124353,412.979543061241,0.271902912275097,0.2794545657422234,0.27656675062597835,0.2905607476430393,0.28423489698611537,383.40865988874947,379.42106316250226,381.1190759591423,373.8529140007464,377.2639592556716,8,SG,1.2239490847917898,0.2527661114374438,0.07638601900849612,3.7689708622454794,,
20160,1,2,383.4086598887494,379.42106316250226,381.1190759591424,373.8529140007464,0.3246441802695176,0.31800909466254873,0.3222863233043548,0.3286198918744119,0.32861281446868046,362.75288617984467,366.3167800320348,364.0193584516811,360.6174180056463,360.6212194822616,9,SG,0.8313298958046276,0.34635508571604334,0.05094448856833744,5.590885080403065,,
23040,2,2,362.75288617984467,366.3167800320349,364.0193584516811,360.61741800564624,0.28658055728658277,0.28026456567174296,0.2705740318639922,0.29727670290445585,0.29727220554805694,383.19794446190906,386.59044382363095,391.7955061103346,377.4527393707146,377.45515502919596,10,SG,0.9312621869470895,0.43046766042848716,0.041942022113410846,15.005830139924992,,
29280,3,2,383.197944461909,386.59044382363095,391.7955061103345,377.45273937071465,0.24385737945150998,0.2379639154890879,0.20105346724465328,0.2311346140530275,0.2375931656259199,406.14578264390957,409.311330344111,429.13698556124353,412.979543061241,409.51047067723005,11,AS,0.8633621340043384,0.4072525988279327,0.04706975279875308,,,
10560,2,4,449.2061868174588,446.3495175428797,407.2350533946534,431.687410496337,0.28996089760955945,0.2870534581060252,0.27922364249703646,0.28294418978104363,0.28294881983956344,381.3822671957839,382.9439359346737,387.1495533698653,385.15114123508755,385.14865429850954,12,AS,1.4241184716169175,0.19790726383064072,0.08509818573482382,,,
12960,1,4,381.382267195784,382.9439359346736,387.1495533698653,385.1511412350875,0.1636895967363769,0.16900800575015307,0.24182942772788857,0.19630520916505467,0.1902113783065886,449.20618681745873,446.3495175428797,407.2350533946534,431.68741049633707,434.9605809750968,13,VS,0.9161627214291994,0.3849764600217867,0.05224331119890289,0.116,,
18480,3,4,275.6887188496287,273.5542620055959,274.2918542720889,273.95203758917944,0.4867360459350566,0.49070987469424776,0.4893366610032137,0.4899693153064262,0.49029505444907395,275.68871884962863,273.5542620055959,274.2918542720889,273.95203758917944,273.77707379870765,14,DB,2.2486861457939264,0.021734332983341625,0.06155277169258229,0.21428570000000002,,
22080,4,4,391.8796060801516,392.7130843758224,405.4809130366125,394.5794651850232,0.26366994195369486,0.26207747950149685,0.2382020112540665,0.2579590308665044,0.2547564175993211,391.8796060801516,392.7130843758224,405.4809130366124,394.57946518502325,396.2992349785813,15,AS,0.8939785005349878,0.38995259374798,0.05410500423734317,,,
480,4,6,382.0185344450019,382.5767412034861,395.0957239122007,380.5098459487272,0.2231723064425542,0.22984382733308178,0.2341101628047627,0.2288541386900298,0.2321600001589008,413.60624724652706,410.00345932838184,407.8750645088156,410.56719908750154,408.95369887327024,16,VS,1.2609206952410397,0.24146362201647942,0.08035706937057728,0.14172186887184096,,
5040,1,6,413.606247246527,410.00345932838184,407.8750645088156,410.56719908750154,0.2735990456674675,0.26967928103085886,0.22531239972988004,0.24557236521651998,0.2497226189682751,390.1706848592458,392.2761023199896,416.1068205466445,405.2246148419307,402.9953950990273,17,AS,0.9420409292132499,0.38447846736077745,0.05025990339256452,,,
5520,3,6,434.0894695389557,424.2038584783247,433.1371838699755,441.170851783,0.19183317154503016,0.21023772521156994,0.19360609105330617,0.17864939577796335,0.19841690152901498,434.08946953895577,424.2038584783247,433.1371838699756,441.17085178299993,430.5531602576166,18,DB,0.7559942132233168,0.44964888549758614,0.04445313185763892,0.21428570000000002,,
11280,2,6,390.17068485924585,392.2761023199896,416.1068205466445,405.2246148419307,0.2887763259464957,0.2877370835384607,0.2644298456044694,0.2915851293907622,0.2915652882608235,382.01853444500193,382.57674120348605,395.0957239122007,380.50984594872716,380.52050318590506,19,SG,1.5350212070565417,0.17643969571752666,0.089542015260085,13.65212768474277,,
7440,3,8,398.453707129614,397.035725702478,401.0250163860847,398.57336614156696,-0.38179353043459574,0.030715473515098873,0.1949397879566117,0.16873964013038673,0.20183034599668032,735.0863209216961,513.4266751071823,424.93935771453744,439.41371660784216,421.94038012415626,20,ASG,1.006038338227373,0.37356811611523205,0.053592301936344525,,17.56873500036071,0.004667005687302742
