Unnamed: 0,agent,group,AS_fit,DB_fit,VS_fit,SG_fit,r2_AS,r2_DB,r2_VS,r2_SG,r2_ASG,fit_AS,fit_DB,fit_VS,fit_SG,fit_ASG,id,model,lambda,beta,tau,par,initial_eps_soc,eta_eps_soc
240,1,0,311.8382753950291,317.79572845117724,349.82744369122184,311.4646632177436,0.41943454586784956,0.40834324723033544,0.34870814540901285,0.4201301189917719,0.42006029529345856,311.8382753950291,317.79572845117724,349.8274436912218,311.4646632177436,311.5021675189533,0,SG,1.317131980347632,0.030235690287731664,0.07015866349134435,18.999999999999996,,
6960,4,0,219.11522829881056,231.3521447092353,264.58229474895245,221.86565702910195,0.6408643655509784,0.61403939465564,0.5434411717219432,0.6413502211678316,0.6429144406759741,192.90199939108055,207.310456873327,245.2307773624387,192.6410324724116,191.8008455300322,1,ASG,1.0408939138237987,0.006737946999085468,0.06312031275034108,,18.999999999999996,0.029040856009684278
20400,2,0,192.90199939108052,207.310456873327,245.2307773624387,192.6410324724116,0.406963299874021,0.4062486461535848,0.3409771763315437,0.4052916130864559,0.4052873990886695,318.5369375614787,318.9207984717332,353.9799678331449,319.43484824687107,319.4371117053543,2,AS,0.7474633944025421,0.08647236872231288,0.0407356755281955,,,
21360,3,0,318.5369375614787,318.9207984717332,353.97996783314494,319.43484824687107,0.5920618408262381,0.569279740315979,0.5074134504121853,0.5869412253314373,0.5869265173467989,219.11522829881054,231.35214470923532,264.5822947489525,221.86565702910195,221.8735571074334,3,AS,1.072346055728777,0.006737946999085468,0.07773343861870968,,,
6000,3,1,356.25852816439357,360.6046205793006,361.4980943349171,358.8909168861297,0.21072202792279854,0.18878339023696566,0.21257968938583666,0.21015891286838134,0.20549607498203548,384.69480610508003,396.2188548260133,387.1036765904811,384.98282331929954,387.4874882623687,4,AS,0.9962222028748513,0.38506527899152343,0.04096113020648069,,,
24480,4,1,434.74084208617745,429.8945684047564,436.2228716893049,436.2456329052498,0.2618785953660499,0.2687189134332044,0.19985510295486508,0.2639131822545799,0.23892732582015158,396.4660732307614,392.791943166644,429.780661223932,395.3732385435702,408.7938551584996,5,DB,1.3706092294366288,0.13662310446303977,0.09573809733906648,0.24585993298032197,,
25680,2,1,396.4660732307615,392.79194316664393,429.780661223932,395.3732385435702,0.33673506265321757,0.32864371750527355,0.326980291179472,0.3318342083506111,0.3318280181618095,356.25852816439357,360.60462057930056,361.498094334917,358.89091688612973,358.89424181320993,6,AS,0.6571678710705766,0.4486837951413227,0.025535671079694643,,,
27120,1,1,384.69480610508015,396.2188548260133,387.10367659048114,384.9828233192996,0.1906204775670125,0.1996430360619203,0.18786130636364734,0.18781893063008834,0.19788110447863,434.7408420861774,429.89456840475646,436.2228716893049,436.24563290524975,430.8409521456192,7,DB,1.2072850153902985,0.2879812732583042,0.06269118974404517,0.21428570000000002,,
4320,4,2,360.800725721654,361.7347376716395,396.396680507481,371.15784480017305,0.2928597580448994,0.2692067136418081,0.2877540136196842,0.2884360754119725,0.2868167184571466,379.82520651927746,392.5299317522451,382.56764757365767,382.2012927182211,383.07109555689794,8,AS,0.527957514228315,0.45989910237260107,0.015990678810186502,,,
20160,1,2,379.8252065192774,392.52993175224503,382.56764757365767,382.2012927182211,0.28585059005948793,0.27254107411684025,0.29441647848093266,0.2832301681230974,0.2890105130231201,383.5900306936543,390.7389515747668,378.9890475425598,384.9975341054321,381.89274588218854,9,VS,2.1368460119024375,0.006737946999085468,0.11520255610030443,0.116,,
