round,trial,current_eps_soc,reward,cumulative_reward,is_random,agent,group,initial_eps_soc,eta_eps_soc
1,0,17.918701561722735,0.134,0.134,1,1,16,17.918701561722735,0.0738833794567708
1,1,17.918701561722735,0.03710000000000002,0.17110000000000003,0,1,16,17.918701561722735,0.0738833794567708
1,2,17.91596048834489,0.3257,0.4968,0,1,16,17.918701561722735,0.0738833794567708
1,3,17.891896671655818,0.16990000000000005,0.6667000000000001,0,1,16,17.918701561722735,0.0738833794567708
1,4,17.87934388548611,-0.06619999999999998,0.6005,0,1,16,17.918701561722735,0.0738833794567708
1,5,17.88423496520615,0.4737,1.0742,0,1,16,17.918701561722735,0.0738833794567708
1,6,17.849236408357477,0.3467,1.4209,0,1,16,17.918701561722735,0.0738833794567708
1,7,17.823621040699816,0.29500000000000004,1.7159,0,1,16,17.918701561722735,0.0738833794567708
1,8,17.80182544376007,0.35250000000000004,2.0684,0,1,16,17.918701561722735,0.0738833794567708
1,9,17.77578155250156,0.20589999999999997,2.2743,0,1,16,17.918701561722735,0.0738833794567708
1,10,17.76056896467141,0.28590000000000004,2.5602,0,1,16,17.918701561722735,0.0738833794567708
1,11,17.73944570648472,0.35450000000000004,2.9147,0,1,16,17.918701561722735,0.0738833794567708
1,12,17.713254048467295,0.1553,3.07,0,1,16,17.918701561722735,0.0738833794567708
1,13,17.70177995963766,0.15339999999999998,3.2234,0,1,16,17.918701561722735,0.0738833794567708
1,14,17.69044624922899,0.15359999999999996,3.377,0,1,16,17.918701561722735,0.0738833794567708
3,0,17.918701561722735,-0.11209999999999998,-0.11209999999999998,1,1,16,17.918701561722735,0.0738833794567708
3,1,17.918701561722735,0.15769999999999995,0.045599999999999974,0,1,16,17.918701561722735,0.0738833794567708
3,2,17.907050152782404,0.37829999999999997,0.42389999999999994,0,1,16,17.918701561722735,0.0738833794567708
3,3,17.87910007033391,0.4847,0.9086,0,1,16,17.918701561722735,0.0738833794567708
3,4,17.84328879631121,0.48819999999999997,1.3967999999999998,0,1,16,17.918701561722735,0.0738833794567708
3,5,17.807218930460415,0.48939999999999995,1.8861999999999997,0,1,16,17.918701561722735,0.0738833794567708
3,6,17.771060404554273,0.5,2.3861999999999997,0,1,16,17.918701561722735,0.0738833794567708
3,7,17.734118714825886,0.3812,2.7673999999999994,0,1,16,17.918701561722735,0.0738833794567708
3,8,17.705954370576965,0.39139999999999997,3.1587999999999994,0,1,16,17.918701561722735,0.0738833794567708
3,9,17.677036415857586,0.36460000000000004,3.5233999999999996,0,1,16,17.918701561722735,0.0738833794567708
3,10,17.65009853570765,0.381,3.9044,0,1,16,17.918701561722735,0.0738833794567708
3,11,17.621948968134618,0.35450000000000004,4.2589,0,1,16,17.918701561722735,0.0738833794567708
3,12,17.595757310117193,0.38739999999999997,4.6463,0,1,16,17.918701561722735,0.0738833794567708
3,13,17.56713488891564,0.33730000000000004,4.9836,0,1,16,17.918701561722735,0.0738833794567708
3,14,17.54221402502487,-0.08629999999999999,4.8973,0,1,16,17.918701561722735,0.0738833794567708
5,0,17.918701561722735,0.26259999999999994,0.26259999999999994,1,1,16,17.918701561722735,0.0738833794567708
5,1,17.918701561722735,0.32299999999999995,0.5855999999999999,0,1,16,17.918701561722735,0.0738833794567708
5,2,17.8948372301582,0.36460000000000004,0.9501999999999999,0,1,16,17.918701561722735,0.0738833794567708
5,3,17.867899350008262,0.4526,1.4028,0,1,16,17.918701561722735,0.0738833794567708
5,4,17.834459732466126,0.347,1.7498,0,1,16,17.918701561722735,0.0738833794567708
5,5,17.808822199794626,0.31620000000000004,2.066,0,1,16,17.918701561722735,0.0738833794567708
5,6,17.785460275210394,0.374,2.44,0,1,16,17.918701561722735,0.0738833794567708
5,7,17.757827891293562,0.36550000000000005,2.8055,0,1,16,17.918701561722735,0.0738833794567708
5,8,17.730823516102113,0.1975,3.003,0,1,16,17.918701561722735,0.0738833794567708
5,9,17.7162315486594,-0.010799999999999976,2.9922,0,1,16,17.918701561722735,0.0738833794567708
5,10,17.717029489157536,0.2096,3.2018,0,1,16,17.918701561722735,0.0738833794567708
5,11,17.701543532823397,0.2108,3.4126,0,1,16,17.918701561722735,0.0738833794567708
5,12,17.68596891643391,0.08930000000000005,3.5019,0,1,16,17.918701561722735,0.0738833794567708
5,13,17.67937113064842,0.3156,3.8175,0,1,16,17.918701561722735,0.0738833794567708
5,14,17.656053536091864,0.17810000000000004,3.9956,0,1,16,17.918701561722735,0.0738833794567708
7,0,17.918701561722735,0.07199999999999995,0.07199999999999995,1,1,16,17.918701561722735,0.0738833794567708
7,1,17.918701561722735,-0.3557,-0.28370000000000006,0,1,16,17.918701561722735,0.0738833794567708
7,2,17.94498187979551,0.2106,-0.07310000000000005,0,1,16,17.918701561722735,0.0738833794567708
7,3,17.929422040081914,0.10399999999999998,0.030899999999999928,0,1,16,17.918701561722735,0.0738833794567708
7,4,17.921738168618408,0.35129999999999995,0.3821999999999999,0,1,16,17.918701561722735,0.0738833794567708
7,5,17.895782937415245,0.4073,0.7894999999999999,0,1,16,17.918701561722735,0.0738833794567708
7,6,17.8656902369625,0.3348,1.1242999999999999,0,1,16,17.918701561722735,0.0738833794567708
7,7,17.840954081520373,0.21289999999999998,1.3371999999999997,0,1,16,17.918701561722735,0.0738833794567708
7,8,17.825224310034027,0.2921,1.6292999999999997,0,1,16,17.918701561722735,0.0738833794567708
7,9,17.803642974894704,0.30810000000000004,1.9373999999999998,0,1,16,17.918701561722735,0.0738833794567708
7,10,17.780879505684073,0.3435,2.2809,0,1,16,17.918701561722735,0.0738833794567708
7,11,17.755500564840673,0.37749999999999995,2.6584,0,1,16,17.918701561722735,0.0738833794567708
7,12,17.727609589095742,0.25070000000000003,2.9091,0,1,16,17.918701561722735,0.0738833794567708
7,13,17.70908702586593,0.4911,3.4002,0,1,16,17.918701561722735,0.0738833794567708
7,14,17.67280289821471,0.5,3.9002,0,1,16,17.918701561722735,0.0738833794567708
9,0,17.918701561722735,0.29079999999999995,0.29079999999999995,1,1,16,17.918701561722735,0.0738833794567708
9,1,17.918701561722735,0.30900000000000005,0.5998,0,1,16,17.918701561722735,0.0738833794567708
9,2,17.89587159747059,0.3406,0.9404,0,1,16,17.918701561722735,0.0738833794567708
9,3,17.870706918427615,0.39990000000000003,1.3403,0,1,16,17.918701561722735,0.0738833794567708
9,4,17.841160954982854,0.41359999999999997,1.7539,0,1,16,17.918701561722735,0.0738833794567708
9,5,17.810602789239535,0.3126,2.0665,0,1,16,17.918701561722735,0.0738833794567708
9,6,17.787506844821348,0.5,2.5665,0,1,16,17.918701561722735,0.0738833794567708
9,7,17.75056515509296,0.38839999999999997,2.9549,0,1,16,17.918701561722735,0.0738833794567708
9,8,17.72186885051195,0.3508,3.3057,0,1,16,17.918701561722735,0.0738833794567708
9,9,17.695950560998515,0.2903,3.596,0,1,16,17.918701561722735,0.0738833794567708
9,10,17.674502215942216,-0.26780000000000004,3.3282,0,1,16,17.918701561722735,0.0738833794567708
9,11,17.69428818496074,0.28759999999999997,3.6157999999999997,0,1,16,17.918701561722735,0.0738833794567708
9,12,17.673039325028974,0.2861,3.9018999999999995,0,1,16,17.918701561722735,0.0738833794567708
9,13,17.651901290166393,0.2722,4.174099999999999,0,1,16,17.918701561722735,0.0738833794567708
9,14,17.63179023427826,0.2127,4.386799999999999,0,1,16,17.918701561722735,0.0738833794567708
11,0,17.918701561722735,0.36960000000000004,0.36960000000000004,1,1,16,17.918701561722735,0.0738833794567708
11,1,17.918701561722735,0.27549999999999997,0.6451,0,1,16,17.918701561722735,0.0738833794567708
11,2,17.898346690682395,0.5,1.1451,0,1,16,17.918701561722735,0.0738833794567708
11,3,17.861405000954008,0.5,1.6451,0,1,16,17.918701561722735,0.0738833794567708
11,4,17.82446331122562,0.5,2.1451000000000002,0,1,16,17.918701561722735,0.0738833794567708
