round,trial,current_eps_soc,reward,cumulative_reward,is_random,agent,group,initial_eps_soc,eta_eps_soc
0,0,18.999999999999996,-0.006199999999999983,-0.006199999999999983,1,1,58,18.999999999999996,0.02569906472663537
0,1,18.999999999999996,-0.1462,-0.15239999999999998,0,1,58,18.999999999999996,0.02569906472663537
0,2,19.00375720326303,-0.1593,-0.3117,0,1,58,18.999999999999996,0.02569906472663537
0,3,19.007851064273986,0.3287,0.017000000000000015,0,1,58,18.999999999999996,0.02569906472663537
0,4,18.99940378169834,0.4466,0.4636,0,1,58,18.999999999999996,0.02569906472663537
0,5,18.987926579391427,0.5,0.9636,0,1,58,18.999999999999996,0.02569906472663537
0,6,18.97507704702811,0.4256,1.3892,0,1,58,18.999999999999996,0.02569906472663537
0,7,18.96413952508045,0.4545,1.8437000000000001,0,1,58,18.999999999999996,0.02569906472663537
0,8,18.952459300162197,0.356,2.1997,0,1,58,18.999999999999996,0.02569906472663537
0,9,18.943310433119514,0.255,2.4547,0,1,58,18.999999999999996,0.02569906472663537
0,10,18.93675717161422,0.4022,2.8569,0,1,58,18.999999999999996,0.02569906472663537
0,11,18.92642100778117,0.29000000000000004,3.1469,0,1,58,18.999999999999996,0.02569906472663537
0,12,18.918968279010446,0.4306,3.5775,0,1,58,18.999999999999996,0.02569906472663537
0,13,18.907902261739157,0.34809999999999997,3.9256,0,1,58,18.999999999999996,0.02569906472663537
0,14,18.898956417307815,0.2734,4.199,0,1,58,18.999999999999996,0.02569906472663537
2,0,18.999999999999996,-0.08189999999999997,-0.08189999999999997,1,1,58,18.999999999999996,0.02569906472663537
2,1,18.999999999999996,-0.30069999999999997,-0.38259999999999994,0,1,58,18.999999999999996,0.02569906472663537
2,2,19.007727708763294,0.3597,-0.02289999999999992,0,1,58,18.999999999999996,0.02569906472663537
2,3,18.998483755181123,0.36460000000000004,0.3417000000000001,0,1,58,18.999999999999996,0.02569906472663537
2,4,18.989113876181793,0.4033,0.7450000000000001,0,1,58,18.999999999999996,0.02569906472663537
2,5,18.97874944337754,0.30379999999999996,1.0488,0,1,58,18.999999999999996,0.02569906472663537
2,6,18.97094206751359,0.5,1.5488,0,1,58,18.999999999999996,0.02569906472663537
2,7,18.95809253515027,0.41979999999999995,1.9686,0,1,58,18.999999999999996,0.02569906472663537
2,8,18.94730406777803,0.16969999999999996,2.1383,0,1,58,18.999999999999996,0.02569906472663537
2,9,18.94294293649392,0.4992,2.6375,0,1,58,18.999999999999996,0.02569906472663537
2,10,18.930113963382386,0.3547,2.9922000000000004,0,1,58,18.999999999999996,0.02569906472663537
2,11,18.920998505123848,0.49560000000000004,3.4878000000000005,0,1,58,18.999999999999996,0.02569906472663537
2,12,18.908262048645327,0.4323,3.9201000000000006,0,1,58,18.999999999999996,0.02569906472663537
2,13,18.897152342964002,0.4415,4.361600000000001,0,1,58,18.999999999999996,0.02569906472663537
2,14,18.885806205887192,0.2973,4.658900000000001,0,1,58,18.999999999999996,0.02569906472663537
4,0,18.999999999999996,-0.179,-0.179,1,1,58,18.999999999999996,0.02569906472663537
4,1,18.999999999999996,0.01739999999999997,-0.16160000000000002,0,1,58,18.999999999999996,0.02569906472663537
4,2,18.999552836273754,0.40969999999999995,0.24809999999999993,0,1,58,18.999999999999996,0.02569906472663537
4,3,18.98902392945525,0.46699999999999997,0.7150999999999998,0,1,58,18.999999999999996,0.02569906472663537
