agent,group,initial_trust,final_trust,trust_change,mean_trust,trust_volatility,total_reward
1.0,0.0,12.670279084834664,11.792295767360898,-0.8779833174737668,12.46212679807467,0.240384936334261,6.1735
1.0,1.0,16.786796159498905,16.775821732111933,-0.010974427386972962,16.782922603144296,0.0035572731692722756,4.6511000000000005
1.0,2.0,5.400094004072731,5.391225741430989,-0.008868262641741786,5.395868950163801,0.004336923806983614,2.8948000000000005
1.0,4.0,10.37989846529902,10.329551982678952,-0.05034648262006769,10.33493885939694,0.03876808800703123,1.7214999999999998
1.0,6.0,5.882409669832319,5.875445119837243,-0.006964549995076119,5.879676285770992,0.0033182677715967615,2.6442
1.0,8.0,18.999999939735098,18.673117671447468,-0.3268822682876298,18.9091036562506,0.10071295972976747,4.3068
1.0,16.0,17.627220164843656,17.558907293301186,-0.06831287154247079,17.59784939069015,0.024604149709016893,4.053800000000001
1.0,19.0,18.999999999999996,18.98043382203013,-0.019566177969867482,18.99193950419207,0.007467870181939951,4.6186
1.0,23.0,3.1399686170462493,3.116516257381388,-0.023452359664861255,3.130514564133888,0.008761228571154208,4.252
1.0,25.0,4.361492240165596,4.314935768725444,-0.046556471440151626,4.340618361607705,0.017334827476892484,3.8916000000000004
1.0,26.0,18.999999999999996,18.953945180254454,-0.046054819745542375,18.98311733306289,0.01594422290671974,4.125299999999999
1.0,28.0,18.999999999999996,18.988108186432445,-0.011891813567551424,18.996329891361537,0.0037131942172300586,4.712000000000001
1.0,29.0,18.999999999999996,18.95798953374329,-0.04201046625670557,18.982353104042843,0.014620584978126641,3.948899999999999
1.0,30.0,18.999999999999996,18.951240976634164,-0.04875902336583238,18.98447223589659,0.015020943531195024,4.930999999999999
1.0,32.0,18.999999999999996,18.91855873329715,-0.08144126670284635,18.95601106373392,0.0413862653788127,2.3653
1.0,34.0,5.116666476337418,5.068906946260843,-0.04775953007657474,5.0933474382850035,0.026637490214440857,2.9929999999999994
1.0,35.0,18.999999999999996,18.993362262637362,-0.00663773736263451,18.996536089845375,0.0034001133021250986,2.5500999999999996
1.0,36.0,14.23213206624768,14.071535229541347,-0.16059683670633262,14.173101811730952,0.05011722717946703,5.147899999999999
1.0,37.0,0.5193371167063403,0.5087934964476725,-0.01054362025866784,0.5156321031059822,0.003633557586980946,4.3421
1.0,38.0,18.999999999999996,18.695159888134185,-0.3048401118658113,18.865604312894693,0.12769754420435436,3.8901999999999997
1.0,39.0,14.55871650196662,14.541904455423905,-0.0168120465427144,14.551443984798864,0.006062578517886295,3.478700000000001
1.0,41.0,18.875390247045843,18.763984907250432,-0.1114053397954109,18.846955724666334,0.041018355903607175,3.8644
1.0,42.0,18.999999999999996,18.960432877408856,-0.0395671225911407,18.977796181721192,0.021620472525097592,2.7897999999999996
1.0,43.0,0.723884449530749,0.716321033014087,-0.007563416516662036,0.7210306167059632,0.00334142859835422,3.3226
1.0,45.0,4.6906248274201205,4.631673244805502,-0.0589515826146183,4.663297070417641,0.023590524716039125,4.458599999999998
1.0,48.0,9.0006566045537,8.970905372824419,-0.02975123172928207,8.984886995512083,0.01363177843577703,2.6212
1.0,50.0,18.999999999999996,18.98695039393655,-0.013049606063447072,18.995759252807503,0.0037839943358921346,4.917599999999999
1.0,51.0,2.433521049084462,2.0919354110067485,-0.3415856380777136,2.3402426681366055,0.08709128035930011,5.8790000000000004
1.0,52.0,15.352545103966191,15.34220035432319,-0.010344749643001805,15.345812154280399,0.006302808822314375,2.6851000000000003
1.0,54.0,1.9208493170453067,1.8854405312150015,-0.035408785830305156,1.9081066128419997,0.010709631262246286,5.597500000000002
1.0,55.0,17.83752690732998,16.929036580347844,-0.908490326982136,17.538175108568332,0.2760324331275664,6.1768
1.0,58.0,18.999999999999996,18.93196491936687,-0.06803508063312691,18.976877095283438,0.020287796957990722,5.0687999999999995
1.0,61.0,3.103243723745478,3.09146940275321,-0.011774320992268272,3.098611584424786,0.004002517738516191,4.736800000000001
2.0,0.0,4.780476015040869,4.747980947796063,-0.03249506724480611,4.772004457542855,0.009538870862717309,5.132299999999999
2.0,1.0,11.184677330979294,11.1081220044395,-0.07655532653979513,11.158307201545794,0.02133399563535428,5.6201
2.0,2.0,14.515712921227715,14.492070461204179,-0.023642460023536316,14.484912020899204,0.02778331190472176,1.1316
2.0,4.0,18.999999999999996,18.98052796305041,-0.01947203694958688,18.995223124534633,0.005111919035659989,4.9897
2.0,6.0,18.999999999999996,18.965971834096838,-0.034028165903158936,18.99007401168235,0.009687828859890455,4.8079
2.0,8.0,10.534472519854718,10.52191466557729,-0.012557854277428504,10.530410873719315,0.003564778178106993,5.398700000000001
2.0,16.0,9.163630932805717,9.159103491955033,-0.004527440850683462,9.159705816340203,0.003592094517586957,2.1851
2.0,19.0,15.923885828512375,15.853130156949526,-0.0707556715628499,15.90135337203988,0.021043499382418878,5.284300000000001
2.0,23.0,9.79697766008425,9.661660853003106,-0.13531680708114457,9.742982482091028,0.04897332992155767,3.8826999999999994
2.0,25.0,9.048523170207522,9.041140206849324,-0.0073829633581983245,9.044632446428462,0.0034129801693292745,2.7039
2.0,26.0,3.785203944704585,3.763273741870883,-0.02193020283370206,3.7760405150412,0.00784099182441283,4.023
2.0,28.0,18.999999999999996,18.991908609269704,-0.008091390730292858,18.99794462076073,0.0029922818932241703,3.2129999999999996
2.0,29.0,2.6758463123607603,2.622815309539475,-0.053031002821285256,2.661022283592747,0.01933782853310969,3.1784999999999997
2.0,30.0,15.617136014393738,15.59169637717772,-0.025439637216017275,15.607080962717085,0.009735745467459738,4.6661
