agent,group,round,env,trial,choice,reward,lambda,beta,tau,gamma,alpha,eps_soc,dummy,initial_eps_soc,eta_eps_soc,delta_soc
0.0,0.0,0.0,24.0,0,41,0.20141854024022096,0.6078793931615615,0.8369735102820668,0.005751759891629366,0.0,0.0,2.1722072703258326,0.0,0.0,0.0,
0.0,0.0,0.0,24.0,1,96,0.24026504730097886,0.6078793931615615,0.8369735102820668,0.005751759891629366,0.0,0.0,2.1722072703258326,0.0,0.0,0.0,"[0.0, 1.0, 1.0, 1.0]"
0.0,0.0,0.0,24.0,2,97,0.08257702290301916,0.6078793931615615,0.8369735102820668,0.005751759891629366,0.0,0.0,2.1722072703258326,0.0,0.0,0.0,"[0.0, 0.9999999765643505, 0.9992279168303162, 0.9998008369451156]"
0.0,0.0,0.0,24.0,3,85,0.3502052257856715,0.6078793931615615,0.8369735102820668,0.005751759891629366,0.0,0.0,2.1722072703258326,0.0,0.0,0.0,"[0.0, 0.9999995396168428, 0.9963055455351866, 0.9992063629637001]"
0.0,0.0,0.0,24.0,4,74,0.46889427340214307,0.6078793931615615,0.8369735102820668,0.005751759891629366,0.0,0.0,2.1722072703258326,0.0,0.0,0.0,"[0.0, 0.9999977814266445, 0.9875162360539365, 0.9950940374481775]"
0.0,0.0,0.0,24.0,5,75,0.28855973314840566,0.6078793931615615,0.8369735102820668,0.005751759891629366,0.0,0.0,2.1722072703258326,0.0,0.0,0.0,"[0.0, 0.9995224812908979, 0.9739363257792442, 0.9935207320587865]"
0.0,0.0,0.0,24.0,6,73,0.4119754873270277,0.6078793931615615,0.8369735102820668,0.005751759891629366,0.0,0.0,2.1722072703258326,0.0,0.0,0.0,"[0.0, 0.999415978724599, 0.9737068042211984, 0.9846687649873014]"
0.0,0.0,0.0,24.0,7,63,0.4827243897732425,0.6078793931615615,0.8369735102820668,0.005751759891629366,0.0,0.0,2.1722072703258326,0.0,0.0,0.0,"[0.0, 0.999495693352552, 0.9650009144164248, 0.9703499457982817]"
0.0,0.0,0.0,24.0,8,62,0.5020648577308047,0.6078793931615615,0.8369735102820668,0.005751759891629366,0.0,0.0,2.1722072703258326,0.0,0.0,0.0,"[0.0, 0.9951274809052673, 0.9653927382889094, 0.9675630721486066]"
0.0,0.0,0.0,24.0,9,84,0.2617803374354315,0.6078793931615615,0.8369735102820668,0.005751759891629366,0.0,0.0,2.1722072703258326,0.0,0.0,0.0,"[0.0, 0.9952908157528999, 0.9613416607000128, 0.9573060379901772]"
0.0,0.0,0.0,24.0,10,52,0.35295359298978835,0.6078793931615615,0.8369735102820668,0.005751759891629366,0.0,0.0,2.1722072703258326,0.0,0.0,0.0,"[0.0, 0.9945863908048079, 0.9622231534837218, 0.9440668808739467]"
0.0,0.0,0.0,24.0,11,61,0.40099257200143346,0.6078793931615615,0.8369735102820668,0.005751759891629366,0.0,0.0,2.1722072703258326,0.0,0.0,0.0,"[0.0, 0.9924776579770626, 0.9685255909425795, 0.9258056687076296]"
0.0,0.0,0.0,24.0,12,53,0.15974923872985203,0.6078793931615615,0.8369735102820668,0.005751759891629366,0.0,0.0,2.1722072703258326,0.0,0.0,0.0,"[0.0, 0.6844076980367151, 0.9742556515988263, 0.9087266229540388]"
0.0,0.0,0.0,24.0,13,72,0.23616150169665262,0.6078793931615615,0.8369735102820668,0.005751759891629366,0.0,0.0,2.1722072703258326,0.0,0.0,0.0,"[0.0, 0.6829204245718801, 0.9447781076720777, 0.49834867722076015]"
0.0,0.0,0.0,24.0,14,17,0.17863514462700103,0.6078793931615615,0.8369735102820668,0.005751759891629366,0.0,0.0,2.1722072703258326,0.0,0.0,0.0,"[0.0, 0.6871901042642033, 0.9480414649775918, 0.49033825269332587]"
0.0,0.0,0.0,24.0,15,5,0.28181204182925945,0.6078793931615615,0.8369735102820668,0.005751759891629366,0.0,0.0,2.1722072703258326,0.0,0.0,0.0,"[0.0, 0.6767553046511108, 0.9548260227748736, 0.4915520966696513]"
0.0,0.0,0.0,24.0,16,15,0.2771740061362187,0.6078793931615615,0.8369735102820668,0.005751759891629366,0.0,0.0,2.1722072703258326,0.0,0.0,0.0,"[0.0, 0.6349138742335099, 0.955522574168585, 0.750827346940128]"
0.0,0.0,0.0,24.0,17,4,0.3185643420623194,0.6078793931615615,0.8369735102820668,0.005751759891629366,0.0,0.0,2.1722072703258326,0.0,0.0,0.0,"[0.0, 0.6389711252436756, 0.9560372038086974, 0.7729637138547514]"
0.0,0.0,0.0,24.0,18,19,0.06070691389667726,0.6078793931615615,0.8369735102820668,0.005751759891629366,0.0,0.0,2.1722072703258326,0.0,0.0,0.0,"[0.0, 0.6336966759797849, 0.9496541383685593, 0.9978309053667994]"
0.0,0.0,0.0,24.0,19,107,0.24612500827957695,0.6078793931615615,0.8369735102820668,0.005751759891629366,0.0,0.0,2.1722072703258326,0.0,0.0,0.0,"[0.0, 0.6322774614874709, 0.9494537019640629, 0.9978403602055065]"
0.0,0.0,0.0,24.0,20,3,0.20124381893372334,0.6078793931615615,0.8369735102820668,0.005751759891629366,0.0,0.0,2.1722072703258326,0.0,0.0,0.0,"[0.0, 0.6340792603787901, 0.9500204931036578, 0.996666017468861]"
0.0,0.0,0.0,24.0,21,28,0.25822281371069944,0.6078793931615615,0.8369735102820668,0.005751759891629366,0.0,0.0,2.1722072703258326,0.0,0.0,0.0,"[0.0, 0.983131829041675, 0.8731459365504577, 0.9966941332435806]"
0.0,0.0,0.0,24.0,22,95,0.19856482382562068,0.6078793931615615,0.8369735102820668,0.005751759891629366,0.0,0.0,2.1722072703258326,0.0,0.0,0.0,"[0.0, 0.9821604874836412, 0.864580683585162, 0.9960700470656343]"
0.0,0.0,0.0,24.0,23,64,0.2647735117106982,0.6078793931615615,0.8369735102820668,0.005751759891629366,0.0,0.0,2.1722072703258326,0.0,0.0,0.0,"[0.0, 0.9803885778987439, 0.8156622048509019, 0.995798380366403]"
