group,agent,initial_eps_soc,eta_eps_soc,final_eps_soc,volatility,reward_sensitivity,early_slope,mid_stability,late_offset,cluster,p_cluster_0,p_cluster_1,p_cluster_2
0.0,1.0,12.670279084834664,0.1389983879480366,11.792295767360898,0.1435182773891104,-0.41617415974844485,-0.016278101212594542,0.09727196863044063,-0.3454447508022298,2,1.2829983565845581e-15,0.0,0.9999999999999982
0.0,2.0,4.780476015040869,0.0058210893797911,4.747980947796063,0.005945402490522223,-0.5813184445756592,-0.0009477315619236037,0.003789050047638488,-0.014140507162967886,1,2.1407501823141825e-06,0.9999978592498183,0.0
0.0,3.0,7.934261724467675,0.3678794411714423,5.543045356853297,0.3977376809138209,-0.5642476756902407,-0.09104648289552042,0.36907954489732014,-1.0390859924299107,2,4.671119038600161e-190,0.0,1.0
0.0,4.0,10.590657845478818,0.0118832698472725,10.514303083402163,0.014530042954458429,-0.47335728458857723,-0.0033490619410569524,0.011362784551279365,-0.03436454902733388,1,0.02022217885808813,0.9797778211419117,0.0
1.0,1.0,16.786796159498905,0.0024787521766663,16.775821732111933,0.0023399906813202625,-0.41644593751673525,-0.000780906085737243,0.002166772050574569,-0.005152924453508234,1,4.800606382193791e-06,0.9999951993936179,0.0
1.0,2.0,11.184677330979294,0.0147932998144531,11.1081220044395,0.014816218831776699,-0.2926213451531694,0.0012813956299288164,0.01267763511068487,-0.03696739957204542,1,0.0016354824281225734,0.9983645175718777,0.0
1.0,3.0,16.339726963281823,0.1223148160605716,15.789432605825311,0.11210579601597406,-0.2723406717038916,-0.011737329749172432,0.04587163003888637,-0.07415481336547813,0,1.0,0.0,0.0
1.0,4.0,18.999999999999996,0.0180319591279209,18.90928482001924,0.016478537644430344,-0.4033835006097994,0.00047478148383675036,0.011926362706627234,-0.04228872227974634,1,0.06286056668279995,0.9371394333171996,0.0
2.0,1.0,5.400094004072731,0.0029844397246314,5.391225741430989,0.0028929107953387647,-0.322121523736473,-1.9339169415744094e-05,0.0016749903644804848,-0.00555350228606688,1,1.4572197792482786e-06,0.9999985427802199,0.0
2.0,2.0,14.515712921227715,0.0172787108262326,14.49207046120418,0.019396681232433193,-0.5180445825231472,-0.003749998610616778,0.014183599976082492,-0.015684626333152707,0,1.0,4.2985993264962954e-20,0.0
2.0,3.0,7.67889408667214,0.0024787521766663,7.671880457388263,0.002383495447720235,-0.36026852121477815,0.00010388450372387226,0.0011413871044923364,-0.0033485935297861147,1,2.0483777504217815e-06,0.9999979516222499,0.0
2.0,4.0,4.358043507520418,0.0024787521766663,4.351908100132733,0.0024836890529678843,-0.18580573371900122,-0.00033887021007199535,0.0005109070005089017,-0.0011905682776163218,1,5.429118596585921e-07,0.9999994570881404,0.0
4.0,1.0,10.37989846529902,0.02625631427383,10.329551982678952,0.027627545761882043,-0.3578973336554903,-0.0028270173578631486,0.020999427517026853,-0.058826021829837316,0,0.9999999966364075,3.363592607115227e-09,0.0
4.0,2.0,18.999999999999996,0.003940351892989,18.98052796305041,0.003214857852897255,-0.3816516617420246,-0.0005250124862218542,0.0037208769869695223,-0.010071614492801473,1,8.075297924815882e-06,0.9999919247020749,0.0
4.0,3.0,11.85345628025297,0.008621594723844,11.804250252685572,0.010517723104112316,-0.7392654080193459,-0.0009068193330540097,0.007562214306715009,-0.0227756257267675,1,2.8953577960096154e-07,0.9999997104642209,0.0
4.0,4.0,0.4769328223477995,0.0024787521766663,0.4655127153194625,0.002356543584002352,-0.4921953683561313,0.00018630301359822687,0.002045554751046794,-0.005754069070676937,1,9.512704250622258e-07,0.9999990487295752,0.0
6.0,1.0,5.882409669832319,0.0024787521781957,5.875445119837243,0.0020088727786922163,-0.3750446565305748,0.00020643048140014386,0.0008486789419235011,-0.0025799914993021034,1,1.5832731397638753e-06,0.99999841672686,0.0
6.0,2.0,18.999999999999996,0.006844923038875,18.96597183409684,0.005905897214031315,-0.3701413640045079,-0.000608171412003955,0.004647334296333101,-0.009238266676856455,1,1.4181146925295857e-05,0.999985818853074,0.0
6.0,3.0,16.02539189021576,0.0226012640290531,15.90884169187074,0.014756888264990085,-0.3989258065880193,-0.0010095984641772305,0.005306655301899361,-0.01708192772809447,0,0.999999999901648,9.835199235079481e-11,0.0
6.0,4.0,12.242043772633105,0.0024787521766663,12.23466279227665,0.0022827891749825652,-0.29927224435902894,2.515933459257269e-05,0.000513503409662055,-0.0006441686728049234,1,3.0559199929256972e-06,0.9999969440800076,0.0
8.0,1.0,18.999999939735098,0.070104286756375,18.673117671447468,0.06085190086901586,-0.32628018452970403,-0.007161853935031104,0.0458162847431302,-0.1094261150279685,0,1.0,3.407606475102859e-92,0.0
8.0,2.0,10.534472519854718,0.0024787521766663,10.52191466557729,0.0023947189938516456,-0.3594467538635284,-0.00015792130117535662,0.002085252413082782,-0.0060917341350474885,1,2.723893902745466e-06,0.9999972761060975,0.0
8.0,3.0,18.999999999999996,0.0024787521766663,18.988145615590305,0.0020457476454529984,-0.4171663836757372,-0.00023158981586668403,0.0005434456490501454,-0.0018535990741348485,1,4.531371535818697e-06,0.9999954686284636,0.0
8.0,4.0,18.999999999999996,0.0540410967032753,18.742677913937676,0.04997257258067937,-0.41774836177845054,-0.014891564607554387,0.04351096003337969,-0.0908940365922426,0,1.0,2.0096130437072067e-126,0.0
16.0,1.0,17.627220164843656,0.0159460484459577,17.558907293301186,0.017687938448889124,-0.35600001746091525,-0.0017947277525927063,0.0104856657486247,-0.02657219139608813,1,0.0020914759134914793,0.9979085240865089,0.0
