agent,group,round,trial,reward,eps_change,is_random,current_eps_soc,cumulative_reward
1,0,1,1.0,0.0256999999999999,0.0,0.0,14.883714104760005,-0.0453
1,0,1,2.0,0.3560999999999999,-0.0017905827977440225,0.0,14.88192352196226,0.3107999999999999
1,0,1,3.0,0.0339,-0.0248103709835501,0.0,14.85711315097871,0.3446999999999999
1,0,1,4.0,-0.064,-0.0023618971534471456,0.0,14.854751253825263,0.2806999999999999
1,0,1,5.0,-0.0192999999999999,0.004459038873765309,0.0,14.859210292699029,0.2613999999999999
1,0,1,6.0,0.472,0.0013446789103674917,0.0,14.860554971609396,0.7333999999999999
1,0,1,7.0,0.5,-0.032885411694005384,0.0,14.82766955991539,1.2334
1,0,1,8.0,0.3762999999999999,-0.034836241201274376,0.0,14.792833318714116,1.6097
1,0,1,9.0,0.3856,-0.02621775512808,0.0,14.766615563586036,1.9953000000000003
1,0,1,10.0,0.4125999999999999,-0.02686570921442666,0.0,14.73974985437161,2.4079
1,0,1,11.0,0.5,-0.028746866239293567,0.0,14.711002988132316,2.9079
1,0,1,12.0,0.5,-0.03483624120127615,0.0,14.67616674693104,3.4079
1,0,1,13.0,0.5,-0.03483624120127615,0.0,14.641330505729764,3.9079
1,0,1,14.0,0.5,-0.03483624120127615,0.0,14.606494264528488,4.4079
1,0,3,1.0,0.0544999999999999,0.0,0.0,14.883714104760005,0.0272999999999999
1,0,3,2.0,-0.0124,-0.003797150290941076,0.0,14.879916954469063,0.0148999999999999
1,0,3,3.0,0.2498,0.0008639387817925837,0.0,14.880780893250856,0.2647
1,0,3,4.0,0.3231,-0.01740418610415695,0.0,14.8633767071467,0.5878000000000001
1,0,3,5.0,0.2614999999999999,-0.022511179064265363,0.0,14.840865528082434,0.8493
1,0,3,6.0,0.2639,-0.018219354148268252,0.0,14.822646173934166,1.1132
1,0,3,7.0,0.3231,-0.018386568106032897,0.0,14.804259605828133,1.4363
1,0,3,8.0,0.3231,-0.022511179064265363,0.0,14.781748426763867,1.7594000000000003
1,0,3,9.0,0.3231,-0.022511179064265363,0.0,14.759237247699602,2.0825000000000005
1,0,3,10.0,0.426,-0.022511179064265363,0.0,14.736726068635337,2.5085000000000006
1,0,3,11.0,0.426,-0.029680477503488234,0.0,14.707045591131848,2.9345000000000008
1,0,3,12.0,0.426,-0.029680477503488234,0.0,14.67736511362836,3.360500000000001
1,0,3,13.0,0.426,-0.029680477503488234,0.0,14.647684636124872,3.786500000000001
1,0,3,14.0,0.426,-0.029680477503488234,0.0,14.618004158621384,4.212500000000001
1,0,5,1.0,0.4736,0.0,0.0,14.883714104760005,0.6525
1,0,5,2.0,0.4736,-0.03299688766584907,0.0,14.850717217094155,1.1261
1,0,5,3.0,0.4736,-0.03299688766584907,0.0,14.817720329428306,1.5997
1,0,5,4.0,0.4736,-0.03299688766585085,0.0,14.784723441762456,2.0733
1,0,5,5.0,0.4736,-0.032996887665847296,0.0,14.751726554096608,2.5469
1,0,5,6.0,0.4736,-0.03299688766584907,0.0,14.71872966643076,3.0205
1,0,5,7.0,0.4736,-0.03299688766584907,0.0,14.68573277876491,3.4941000000000004
1,0,5,8.0,0.4736,-0.03299688766585085,0.0,14.65273589109906,3.9677000000000007
1,0,5,9.0,0.4736,-0.032996887665847296,0.0,14.619739003433212,4.441300000000001
1,0,5,10.0,0.4736,-0.032996887665847296,0.0,14.586742115767365,4.914900000000001
1,0,5,11.0,0.4736,-0.03299688766585085,0.0,14.553745228101514,5.388500000000001
1,0,5,12.0,0.4736,-0.03299688766584907,0.0,14.520748340435665,5.862100000000002
1,0,5,13.0,0.4736,-0.03299688766584907,0.0,14.487751452769816,6.335700000000002
1,0,5,14.0,0.4736,-0.032996887665847296,0.0,14.454754565103968,6.809300000000002
1,0,7,1.0,0.0071999999999999,0.0,0.0,14.883714104760005,0.1412
1,0,7,2.0,0.1130999999999999,-0.0005016418733010397,0.0,14.883212462886704,0.2542999999999999
1,0,7,3.0,-0.2916999999999999,-0.007879957759728384,0.0,14.875332505126975,-0.0373999999999999
1,0,7,4.0,-0.1170999999999999,0.020323463116824314,0.0,14.8956559682438,-0.1544999999999999
1,0,7,5.0,-0.3336,0.00815864768934027,0.0,14.90381461593314,-0.4881
1,0,7,6.0,0.0334999999999999,0.02324274012949168,0.0,14.927057356062631,-0.4546
1,0,7,7.0,-0.3076,-0.002334028160483115,0.0,14.924723327902148,-0.7622
1,0,7,8.0,0.3801,0.0214312555870233,0.0,14.946154583489172,-0.3821
1,0,7,9.0,0.4414,-0.02648251056121076,0.0,14.91967207292796,0.0593
1,0,7,10.0,0.437,-0.030753433732487068,0.0,14.888918639195474,0.4963000000000001
1,0,7,11.0,0.3555,-0.030446874809912927,0.0,14.85847176438556,0.8518000000000001
1,0,7,12.0,0.4414,-0.024768567494108495,0.0,14.833703196891452,1.2932
1,0,7,13.0,0.4414,-0.030753433732488844,0.0,14.802949763158963,1.7346
1,0,7,14.0,0.4414,-0.03075343373248529,0.0,14.772196329426478,2.176
1,0,9,1.0,0.154,0.0,0.0,14.883714104760005,0.3962
1,0,9,2.0,0.2986999999999999,-0.01072956228999189,0.0,14.872984542470013,0.6949
1,0,9,3.0,0.1369,-0.020811170493644227,0.0,14.852173371976368,0.8318
1,0,9,4.0,0.1054,-0.009538162840907916,0.0,14.84263520913546,0.9372
1,0,9,5.0,0.2205,-0.007343479645230744,0.0,14.83529172949023,1.1577000000000002
1,0,9,6.0,0.1848999999999999,-0.015362782369763295,0.0,14.819928947120466,1.3426
