reward_quartile,mean,sem,count,std
Q1 (Low),-0.002880501204326876,0.00016166447625592874,3683,0.009811049323006743
Q2,-0.007792245503204463,0.00020200071210845237,3686,0.012263955497061229
Q3,-0.010809038756593777,0.00023801707262014453,3678,0.014434906393398022
Q4 (High),-0.013831400566217327,0.00024693099091570596,3683,0.014985680140500722
